Release_Date,Production_Budget,Worldwide_Gross
1915-08-02,110000,11000000
1916-12-24,200000,8000000
1920-09-17,100000,3000000
1925-01-01,245000,22000000
1925-12-30,3900000,9000000
1929-01-02,379000,4358000
1931-12-31,558000,900000
1933-07-04,672000,10000650
1933-09-02,200000,2000000
1933-09-03,439000,2281000
1934-01-01,325000,2500000
1935-06-09,609000,3202000
1936-05-02,1500000,165049
1936-06-26,1300000,5273000
1937-12-21,1488000,184925485
1938-01-01,2000000,4000000
1938-01-01,1644000,4000000
1939-01-01,1500000,9000000
1939-08-25,2777000,33754967
1939-12-15,3900000,390525192
1940-01-01,2000000,9172000
1940-01-01,1288000,6000000
1940-11-13,2280000,83320000
1942-08-13,858000,268000000
1942-11-16,134000,8000000
1943-01-23,1039000,10462500
1943-12-24,2627000,5363000
1944-01-01,2361000,3500000
1944-01-08,5200000,2000000
1945-01-01,2160000,9132000
1945-01-01,1250000,11000000
1945-10-31,1500000,7000000
1946-01-01,3180000,9576159
1946-01-01,2000000,24464742
1946-11-21,2100000,23600000
1946-12-31,6000000,20400000
1947-01-01,2000000,7800000
1948-01-01,3700000,2956000
1948-01-01,3000000,9012000
1949-01-01,1600000,5400000
1949-01-01,1000000,7800000
1950-02-15,2900000,263591415
1950-05-17,3768785,8000000
1951-02-23,8250000,30022000
1951-03-07,1200000,7000000
1951-09-18,1800000,8000000
1951-09-24,2300000,11000000
1952-01-01,730000,8000000
1952-10-01,4000000,36000000
1952-10-04,2540000,7200000
1953-01-21,1250000,2500000
1953-05-02,4000000,87400000
1953-05-08,1650000,30500000
1953-06-13,210000,5000000
1953-09-16,5000000,36000000
1953-10-04,658000,23800000
1954-01-01,5000000,15000000
1954-07-28,910000,9600000
1954-12-23,5000000,28200000
1955-03-10,1200000,7000000
1956-01-01,6000000,12500000
1956-01-01,4500000,10400000
1956-01-01,4000000,14400000
1956-01-01,1000000,9000000
1956-02-16,3380000,3220
1956-05-10,13500000,80000000
1956-10-17,6000000,42000000
1956-11-19,500000,271736
1956-12-23,1200000,2000000
1957-01-01,5000000,11014685
1957-12-18,3000000,33300000
1958-09-20,3000000,17570324
1959-01-01,5000000,11000000
1959-01-01,3500000,12800000
1959-03-29,2883848,25000000
1959-11-18,15000000,73000000
1960-01-01,4000000,21750000
1960-01-01,3000000,24600000
1960-01-01,3000000,10400000
1960-07-10,12000000,60000000
1960-10-24,12000000,7900000
1961-01-01,4000000,8200000
1961-01-01,3000000,10000000
1961-01-01,2900000,5000000
1961-09-25,2000000,7600000
1961-10-18,6000000,43700000
